idDrink,strDrink,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strIngredient1,strMeasure1,strIngredient2,strMeasure2,strIngredient3,strMeasure3,strIngredient4,strMeasure4,strIngredient5,strMeasure5,strIngredient6,strMeasure6,strIngredient7,strMeasure7,strIngredient8,strMeasure8,strIngredient9,strMeasure9,strIngredient10,strMeasure10,strIngredient11,strMeasure11,strIngredient12,strMeasure12,strIngredient13,strMeasure13,strIngredient14,strMeasure14,strIngredient15,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
178317,Bee's Knees,,,Cocktail,,Alcoholic,Martini Glass,"Shake ingredients with crushed ice
Garnish with orange peel
",https://www.thecocktaildb.com/images/media/drink/tx8ne41582475326.jpg,Gold rum,6 cl,Orange Juice,2 cl,Lime Juice,2 cl,Triple Sec,2 jiggers,,,,,,,,,,,,,,,,,,,,,,,,,No,
17254,Bijou,,,Cocktail,,Alcoholic,Cocktail glass,"Stir in mixing glass with ice and strain
",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,Orange Bitters,1 dash,Green Chartreuse,1 oz,Gin,1 oz,Sweet Vermouth,1 oz,,,,,,,,,,,,,,,,,,,,,,,,,No,2017-12-19 18:09:45
17268,Blue Hurricane,"Colourful, Blue",,Cocktail,,Alcoholic,Highball glass,"If each part is 1/2 oz then use about 2.5 cups of ice.

Blend it all together. 
Drink it with a big straw if you have one.

",https://www.thecocktaildb.com/images/media/drink/nwx02s1515795822.jpg,Rum,4 parts,Dark Rum,2 parts,Passoa,1 part,Blue Curacao,1 part,Sweet and Sour,6 parts,Ice,cubes,,,,,,,,,,,,,,,,,,,,,No,2018-01-12 22:23:42
178336,Blueberry Mojito,Fruity,,Cocktail,,Alcoholic,Highball glass,Muddle the blueberries with the other ingredients and serve in a highball glass. Garnish with mint and a half slice of lime.,https://www.thecocktaildb.com/images/media/drink/07iep51598719977.jpg,Dark Rum,2 shots,Lime Juice,1 shot,Sugar,Dash,Blueberries,Whole,Lemon-lime soda,Top,,,,,,,,,,,,,,,,,,,,,,,No,
17242,Bombay Cassis,,,Cocktail,,Alcoholic,Balloon Glass,"Add the Bombay Sapphire, Crème de Cassis and lime juice to a balloon glass and swirl well to mix.
Fill the glass with good quality cubed ice.
Top up with chilled and freshly opened Fever-Tree Ginger Beer.
Gently stir to combine, top with a gently squeezed lime wedge and finish with a fresh ginger slice.",https://www.thecocktaildb.com/images/media/drink/h1e0e51510136907.jpg,Gin,50 ml,Creme de Cassis,20 ml,Fresh Lime Juice,15 ml,Ginger beer,75 ml,Lime,1,Ginger,1 long strip,,,,,,,,,,,,,,,,,,,,,No,2017-11-08 10:28:28
12572,Bora Bora,,,Cocktail,,Non alcoholic,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Pineapple juice,10 cl ,Passion fruit juice,6 cl ,Lemon juice,1 cl ,Grenadine,1 cl ,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-09-06 23:43:31
17251,Boulevardier,,,Cocktail,,Alcoholic,Martini Glass,"Stir with ice, strain, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/km84qi1513705868.jpg,Campari,1 oz,Sweet Vermouth,1 oz,Rye whiskey,1 1/4 oz,Orange Peel,1,,,,,,,,,,,,,,,,,,,,,,,,,No,2017-12-19 17:51:08
178331,Bounty Hunter,,,Cocktail,,Alcoholic,Margarita glass,"Add the spirits into a shaker as well as the pineapple juice, strain into a Margarita glass. Top with Prosecco and garnish with Blueberries.",https://www.thecocktaildb.com/images/media/drink/t8bgxl1596018175.jpg,Rum,1 shot,Coconut Liqueur,1 shot,Blueberries,Garnish with,Pineapple Juice,Dash,Prosecco,Top,,,,,,,,,,,,,,,,,,,,,,,No,
17825,Brigadier,,,Cocktail,,Alcoholic,Coupe Glass,Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,Hot Chocolate,4 oz,Green Chartreuse,1 oz,Cherry Heering,1 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2018-02-18 09:50:01
178311,Broadside,,,Cocktail,,Alcoholic,Highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,151 proof rum,1 shot,Scotch,1/2 shot,Bitters,3 drops,Wormwood,1 Fresh,Ice,cubes,,,,,,,,,,,,,,,,,,,,,,,Yes,
